;Z;N
702;70;92
703;70;93
704;70;95
705;70;97
706;71;81
707;71;83
708;71;86
709;71;87
710;71;88
711;71;89
712;71;90
713;71;91
714;71;92
715;71;93
716;71;94
717;71;95
718;71;96
719;71;97
720;71;98
721;71;99
722;71;100
723;71;101
724;71;103
725;72;81
726;72;82
727;72;83
728;72;86
729;72;87
730;72;88
731;72;89
732;72;90
733;72;91
734;72;92
735;72;93
736;72;94
737;72;95
738;72;96
739;72;97
740;72;99
741;72;101
742;73;86
743;73;87
744;73;88
745;73;89
746;73;90
747;73;91
748;73;92
749;73;93
750;73;94
751;73;95
752;73;96
753;73;97
754;73;98
755;73;99
756;73;100
757;73;101
758;73;102
759;73;103
760;73;104
761;73;105
762;74;83
763;74;88
764;74;89
765;74;90
766;74;91
767;74;92
768;74;93
769;74;94
770;74;95
771;74;96
772;74;97
773;74;98
774;74;99
775;74;100
776;74;101
777;74;103
778;74;105
779;75;88
780;75;90
781;75;91
782;75;93
783;75;94
784;75;95
785;75;96
786;75;97
787;75;98
788;75;99
789;75;100
790;75;101
791;75;102
792;75;103
793;75;104
794;75;105
795;75;106
796;75;107
797;75;109
798;76;92
799;76;93
800;76;94
801;76;95
802;76;96
803;76;97
804;76;98
805;76;99
806;76;100
807;76;101
808;76;102
809;76;103
810;76;104
811;76;105
812;76;107
813;77;93
814;77;94
815;77;95
816;77;96
817;77;97
818;77;98
819;77;99
820;77;100
821;77;101
822;77;102
823;77;103
824;77;104
825;77;105
826;77;106
827;77;107
828;77;108
829;77;109
830;77;110
831;77;111
832;77;113
833;78;98
834;78;99
835;78;100
836;78;101
837;78;102
838;78;103
839;78;104
840;78;105
841;78;106
842;78;107
843;78;108
844;78;109
845;78;111
846;79;99
847;79;100
848;79;101
849;79;102
850;79;103
851;79;104
852;79;105
853;79;106
854;79;107
855;79;108
856;79;109
857;79;110
858;79;111
859;79;112
860;79;113
861;79;114
862;79;115
863;79;117
864;80;100
865;80;101
866;80;102
867;80;103
868;80;104
869;80;105
870;80;106
871;80;107
872;80;108
873;80;109
874;80;110
875;80;111
876;80;113
877;80;115
878;81;99
879;81;100
880;81;101
881;81;102
882;81;103
883;81;104
884;81;105
885;81;106
886;81;107
887;81;108
888;81;109
889;81;110
890;81;111
891;81;112
892;81;113
893;81;114
894;81;115
895;81;116
896;81;117
897;81;118
898;81;119
899;82;103
900;82;104
901;82;105
902;82;106
903;82;107
904;82;108
905;82;109
906;82;110
907;82;111
908;82;112
909;82;113
910;82;114
911;82;115
912;82;116
913;82;117
914;82;119
915;83;109
916;83;110
917;83;111
918;83;112
919;83;113
920;83;114
921;83;115
922;83;116
923;83;117
924;83;118
925;83;119
926;83;120
927;83;121
928;83;122
929;83;123
930;83;124
931;83;125
932;84;113
933;84;115
934;84;116
935;84;117
936;84;118
937;84;119
938;84;120
939;84;121
940;84;122
941;84;123
942;85;117
943;85;118
944;85;119
945;85;120
946;85;121
947;85;122
948;85;123
949;85;124
950;85;125
951;86;119
952;86;121
953;86;123
954;86;125
955;87;125
956;89;135
957;91;137
958;91;139
959;92;137
960;93;137
961;93;138
962;93;139
963;93;140
964;93;141
965;94;137
966;94;139
967;94;141
968;95;135
969;95;136
970;95;137
971;95;138
972;95;139
973;95;140
974;95;141
975;95;142
976;95;143
977;95;145
978;96;135
979;96;136
980;96;138
981;96;139
982;96;140
983;96;141
984;96;143
985;97;138
986;97;139
987;97;140
988;97;141
989;97;142
990;97;143
991;97;144
992;97;145
993;97;146
994;97;147
995;97;149
996;98;143
997;98;145
998;98;147
999;99;145
1000;99;146
1001;99;147
1002;99;148
1003;99;149
1004;99;150
1005;99;151
1006;100;149
1007;100;151
1008;101;147
1009;101;149
1010;101;150
1011;101;151
1012;101;152
1013;101;153
1014;101;154
1015;101;155
1016;102;147
1017;102;153
1018;103;148
1019;103;159
